"SETTLEMENT_PERIOD","halfhourlysolar","halfhourlywind","demand"
1,0,1401.02191780822,19441
1,0,1401.02191780822,19969
1,0,1401.02191780822,20554
1,0,1401.02191780822,20349
1,0,1401.02191780822,21500
1,0,1401.02191780822,22043
1,0,1401.02191780822,21838
1,0,1401.02191780822,21233
1,0,1401.02191780822,19771
1,0,1401.02191780822,18980
1,0,1401.02191780822,21061
1,0,1401.02191780822,22261
1,0,1401.02191780822,21646
1,0,1401.02191780822,20907
1,0,1401.02191780822,18994
1,0,1401.02191780822,20410
1,0,1401.02191780822,20026
1,0,1401.02191780822,20405
1,0,1401.02191780822,21030
1,0,1401.02191780822,20844
1,0,1401.02191780822,20932
1,0,1401.02191780822,20031
1,0,1401.02191780822,19676
1,0,1401.02191780822,20444
1,0,1401.02191780822,20866
1,0,1401.02191780822,20692
1,0,1401.02191780822,19098
1,0,1401.02191780822,19691
1,0,1401.02191780822,20524
1,0,1401.02191780822,19164
1,0,1401.02191780822,20240
1,0,1401.02191780822,20982
1,0,1401.02191780822,21256
1,0,1401.02191780822,20509
1,0,1401.02191780822,20527
1,0,1401.02191780822,19552
1,0,1401.02191780822,19041
1,0,1401.02191780822,18835
1,0,1401.02191780822,19568
1,0,1401.02191780822,20523
1,0,1401.02191780822,20326
1,0,1401.02191780822,20053
1,0,1401.02191780822,19080
1,0,1401.02191780822,19216
1,0,1401.02191780822,20194
1,0,1401.02191780822,20472
1,0,1401.02191780822,20278
1,0,1401.02191780822,19591
1,0,1401.02191780822,20216
1,0,1401.02191780822,19216
1,0,1401.02191780822,19413
1,0,1401.02191780822,20493
1,0,1401.02191780822,20231
1,0,1401.02191780822,21127
1,0,1401.02191780822,20428
1,0,1401.02191780822,20097
1,0,1401.02191780822,19103
1,0,1401.02191780822,18657
1,0,1401.02191780822,19831
1,0,1401.02191780822,20273
1,0,1401.02191780822,20633
1,0,1401.02191780822,20208
1,0,1401.02191780822,19747
1,0,1401.02191780822,18513
1,0,1401.02191780822,18516
1,0,1401.02191780822,20485
1,0,1401.02191780822,20192
1,0,1401.02191780822,20310
1,0,1401.02191780822,20138
