date,settlement_period,capacity
06-Jan-21,6,24928
06-Jan-21,7,24599
06-Jan-21,8,24187
06-Jan-21,9,24089
06-Jan-21,10,24172
06-Jan-21,11,24703
06-Jan-21,12,25778
06-Jan-21,13,28057
06-Jan-21,14,29983
06-Jan-21,15,32546
06-Jan-21,16,34607
06-Jan-21,17,36388
06-Jan-21,18,37293
06-Jan-21,19,37449
06-Jan-21,20,37606
06-Jan-21,21,37808
06-Jan-21,22,37923
06-Jan-21,23,38276
06-Jan-21,24,38385
06-Jan-21,25,38523
06-Jan-21,26,38299
06-Jan-21,27,38162
06-Jan-21,28,37969
06-Jan-21,29,37959
06-Jan-21,30,38030
06-Jan-21,31,38691
06-Jan-21,32,39530
06-Jan-21,33,39596
06-Jan-21,34,40901
06-Jan-21,35,41498
06-Jan-21,36,41713
06-Jan-21,37,41363
06-Jan-21,38,41180
06-Jan-21,39,40231
06-Jan-21,40,39180
06-Jan-21,41,37935
06-Jan-21,42,36679
06-Jan-21,43,35016
06-Jan-21,44,33509
06-Jan-21,45,31641
06-Jan-21,46,29930
06-Jan-21,47,28066
06-Jan-21,48,26866
07-Jan-21,1,26843
07-Jan-21,2,27198
07-Jan-21,3,26961
07-Jan-21,4,26624
07-Jan-21,5,26209
07-Jan-21,6,25980
07-Jan-21,7,25697
07-Jan-21,8,25318
07-Jan-21,9,25009
07-Jan-21,10,25091
07-Jan-21,11,25603
07-Jan-21,12,26686
07-Jan-21,13,28710
07-Jan-21,14,30576
07-Jan-21,15,32807
07-Jan-21,16,34513
07-Jan-21,17,36642
07-Jan-21,18,37538
07-Jan-21,19,38239
07-Jan-21,20,38337
07-Jan-21,21,38147
07-Jan-21,22,37958
07-Jan-21,23,38308
07-Jan-21,24,38096
07-Jan-21,25,38211
07-Jan-21,26,38110
07-Jan-21,27,38099
07-Jan-21,28,37959
07-Jan-21,29,38487
07-Jan-21,30,38731
07-Jan-21,31,38931
07-Jan-21,32,39398
07-Jan-21,33,40345
07-Jan-21,34,41462
07-Jan-21,35,42122
07-Jan-21,36,42150
07-Jan-21,37,41625
07-Jan-21,38,41216
07-Jan-21,39,40605
07-Jan-21,40,39025
07-Jan-21,41,37711
07-Jan-21,42,36791
07-Jan-21,43,35341
07-Jan-21,44,33761
07-Jan-21,45,32138
07-Jan-21,46,30166
07-Jan-21,47,28429
07-Jan-21,48,27312
08-Jan-21,1,27155
08-Jan-21,2,27557
08-Jan-21,3,27375
08-Jan-21,4,26883
08-Jan-21,5,26335
08-Jan-21,6,26022
08-Jan-21,7,25574
08-Jan-21,8,25230
08-Jan-21,9,25011
08-Jan-21,10,25073
08-Jan-21,11,25712
08-Jan-21,12,26331
08-Jan-21,13,28441
08-Jan-21,14,30203
08-Jan-21,15,32480
08-Jan-21,16,34352
08-Jan-21,17,36337
08-Jan-21,18,37221
08-Jan-21,19,38088
08-Jan-21,20,38173
08-Jan-21,21,38373
08-Jan-21,22,38511
08-Jan-21,23,38622
08-Jan-21,24,38884
08-Jan-21,25,39379
08-Jan-21,26,39358
08-Jan-21,27,39438
08-Jan-21,28,38899
08-Jan-21,29,38813
08-Jan-21,30,38689
08-Jan-21,31,38890
08-Jan-21,32,39270
08-Jan-21,33,39570
08-Jan-21,34,40559
08-Jan-21,35,40826
08-Jan-21,36,40731
08-Jan-21,37,40423
08-Jan-21,38,39696
08-Jan-21,39,38899
08-Jan-21,40,37163
08-Jan-21,41,36125
08-Jan-21,42,35067
08-Jan-21,43,33629
08-Jan-21,44,32219
08-Jan-21,45,31200
08-Jan-21,46,29804
08-Jan-21,47,28136
08-Jan-21,48,27244
09-Jan-21,1,26990
09-Jan-21,2,27471
09-Jan-21,3,27188
09-Jan-21,4,26564
09-Jan-21,5,25981
09-Jan-21,6,25737
09-Jan-21,7,25273
09-Jan-21,8,24835
09-Jan-21,9,24633
09-Jan-21,10,24493
09-Jan-21,11,24629
09-Jan-21,12,24881
09-Jan-21,13,25965
09-Jan-21,14,26590
09-Jan-21,15,27641
09-Jan-21,16,28188
09-Jan-21,17,29535
09-Jan-21,18,31012
09-Jan-21,19,32222
09-Jan-21,20,33051
09-Jan-21,21,33435
09-Jan-21,22,33826
09-Jan-21,23,33956
09-Jan-21,24,34147
09-Jan-21,25,34252
09-Jan-21,26,34223
09-Jan-21,27,34183
09-Jan-21,28,34064
09-Jan-21,29,34214
09-Jan-21,30,34302
09-Jan-21,31,34744
09-Jan-21,32,35525
09-Jan-21,33,36838
09-Jan-21,34,38731
09-Jan-21,35,39715
09-Jan-21,36,40111
09-Jan-21,37,39546
09-Jan-21,38,38529
09-Jan-21,39,37110
09-Jan-21,40,36038
09-Jan-21,41,35362
09-Jan-21,42,34069
09-Jan-21,43,32699
09-Jan-21,44,31373
09-Jan-21,45,30119
09-Jan-21,46,28461
09-Jan-21,47,27033
09-Jan-21,48,26101
10-Jan-21,1,25764
10-Jan-21,2,26196
10-Jan-21,3,25927
10-Jan-21,4,25326
10-Jan-21,5,24945
10-Jan-21,6,24464
10-Jan-21,7,23956
10-Jan-21,8,23528
10-Jan-21,9,23255
10-Jan-21,10,23056
10-Jan-21,11,23085
10-Jan-21,12,23155
10-Jan-21,13,23800
10-Jan-21,14,24392
10-Jan-21,15,25185
10-Jan-21,16,25760
10-Jan-21,17,26641
10-Jan-21,18,28099
10-Jan-21,19,29522
10-Jan-21,20,30880
10-Jan-21,21,31903
10-Jan-21,22,32526
10-Jan-21,23,33029
10-Jan-21,24,33442
10-Jan-21,25,34353
10-Jan-21,26,34936
10-Jan-21,27,35111
10-Jan-21,28,35358
10-Jan-21,29,35767
10-Jan-21,30,36068
10-Jan-21,31,36553
10-Jan-21,32,37344
10-Jan-21,33,38852
10-Jan-21,34,40310
10-Jan-21,35,40448
10-Jan-21,36,40506
10-Jan-21,37,39441
10-Jan-21,38,37820
10-Jan-21,39,36623
10-Jan-21,40,35207
10-Jan-21,41,34089
10-Jan-21,42,32838
10-Jan-21,43,31503
10-Jan-21,44,30010
10-Jan-21,45,28167
10-Jan-21,46,26573
10-Jan-21,47,24944
10-Jan-21,48,23827
11-Jan-21,1,23529
11-Jan-21,2,24033
11-Jan-21,3,23769
11-Jan-21,4,23237
11-Jan-21,5,22827
11-Jan-21,6,22614
11-Jan-21,7,22113
11-Jan-21,8,21782
11-Jan-21,9,21489
11-Jan-21,10,21527
11-Jan-21,11,22239
