,,,,Historical VaR,,,,,,,,,
8.734280343,5.8875277,9.733279819,,9.733279819,,,,,,,,,
7.809522315,9.103891266,9.782198103,,9.782198103,,,,,,,,,
6.544991215,9.712696252,9.859060766,,9.859060766,,,,,,,,,
7.469771219,7.13224367,9.878965152,,9.878965152,,,,,,,,,
6.610735948,9.197756226,9.88826703,,9.88826703,,,,,,,,,
6.204638896,8.672767508,9.919506434,,9.919506434,,,,,,,,,
6.307232367,8.007594722,10.00288541,,10.00288541,,,,,,,,,
6.382840431,8.043577467,10.08402167,,10.08402167,,,,,,,,,
7.561051038,6.871573918,10.10960233,,10.10960233,,,,,,,,,
6.450409291,9.541558167,10.20134612,,10.20134612,,,,,,,,,
6.14611882,8.543006272,10.3898893,,10.3898893,,,,,,,,,
6.316351555,7.920617901,10.41937595,,10.41937595,,,,,,,,,
6.085091261,8.449355885,10.53441928,,10.53441928,,,,,,,,,
6.098778159,8.121732185,10.53517602,,10.53517602,,,,,,,,,
6.088860386,8.153258749,10.59746701,,10.59746701,,,,,,,,,
6.158917879,8.047407762,10.59775571,,10.59775571,,,,,,,,,
6.147354733,8.155311303,10.67716135,,10.67716135,,,,,,,,,
6.074562605,8.237542483,10.90507013,,10.90507013,,,,,,,,,
6.161844312,8.02469798,11.07415276,,11.07415276,,,,,,,,,
0.238420168,,,,,,,,,,,,,
7.969445494,,,,,,,,,,,,,
