,Available,Charging
0,10022,16
1,10002,10
2,9990,4
3,9981,4
4,9976,2
5,9974,2
6,9968,2
7,9967,1
8,9966,1
9,9963,1
10,9959,2
11,9954,2
12,9953,1
13,9953,0
