,Available,Charging
0,37901,301
1,37300,332
2,36711,306
3,36085,322
4,35395,372
5,34678,385
6,33950,383
7,33272,355
8,32589,370
9,31957,332
10,31319,353
11,30630,370
12,29954,367
13,29278,337
14,28627,338
15,27868,381
16,27085,411
17,26239,421
18,25453,392
19,24708,376
20,23965,398
21,23201,382
22,22449,401
23,21676,396
24,20895,423
25,20035,449
26,19158,436
27,18323,446
28,17596,388
29,16867,401
30,16038,452
31,15289,384
32,14652,347
33,13951,383
34,13277,380
35,12553,371
36,11837,382
37,11044,397
38,10361,354
39,9697,361
40,9022,372
41,8314,359
42,7698,361
43,6959,406
44,6323,347
45,5632,378
46,4872,402
47,4124,376
48,3461,348
49,2789,383
50,1959,427
51,1201,363
52,630,295
53,260,190
54,135,57
55,34,49
56,7,18
57,0,3
58,0,0
