Available,Charging
2689500,2600
2686900,1700
2685400,500
2685000,200
2684900,100
1760800,1000
1760400,200
2810200,3300
2807700,1100
2807300,200
2807100,200
2689500,2600
2686900,1700
2685400,500
2685000,200
2684900,100
10243500,51400
10131700,56300
10021600,58600
9904200,61800
9794800,57200
9684400,58900
9570800,61500
9453500,61200
9332000,62400
9214300,62400
9105300,58800
8993000,59900
8871400,65200
8757200,58800
8646400,59000
8545400,55000
8433600,61100
8325100,58700
8218200,59300
8102200,61200
7980500,63700
7860300,64800
7742300,61100
7623800,62900
7501700,62600
7384500,62400
7264600,61500
7143600,61700
7029000,60100
6913200,62600
6799500,59500
6690000,58800
6589500,56300
6476100,58300
6361800,61300
6241800,64200
6120900,62400
5993400,64500
5876300,61000
5756200,60500
5642900,58400
5528300,62700
5413800,59600
5282500,70500
5151200,69200
5034200,59000
4926700,58000
4808500,61500
4690000,61200
4575800,62600
4456200,63700
4341100,60100
4231200,60800
4117600,60000
4000000,61200
3888700,60500
3781100,59200
3658600,61400
3550000,58600
3433400,61400
3308000,62700
3199300,56700
3095700,55900
2968900,66800
2857700,60300
2739400,61300
2613500,66600
2483100,67400
2366900,60900
2252800,61700
2144700,57800
2024200,62000
1921300,58100
1808000,60200
1671800,69500
1558000,61200
1429800,66600
1305700,65000
1185200,61200
1058300,68000
932200,64200
812200,61300
687500,62900
571400,63900
453500,63700
334800,60600
227900,55200
139500,45200
75700,29500
36500,20600
11800,11000
900,5200
100,200
