,Available,Charging
0,63797,409
1,63016,420
2,62165,447
3,61276,467
4,60306,497
5,59433,465
6,58553,443
7,57576,507
8,56662,494
9,55704,522
10,54795,501
11,53800,515
12,52757,531
13,51997,416
14,51158,479
15,50182,514
16,49115,556
17,48095,538
18,47126,485
19,46275,451
20,45371,485
21,44442,457
22,43596,448
23,42645,511
24,41676,505
25,40838,485
26,39895,501
27,38938,512
28,37967,511
29,37137,464
30,36310,440
31,35432,463
32,34497,499
33,33619,476
34,32739,474
35,31865,480
36,31006,457
37,30110,476
38,29085,523
39,28204,471
40,27262,491
41,26315,494
42,25362,503
43,24465,475
44,23677,446
45,22796,456
46,21903,460
47,20913,502
48,19980,484
49,19130,463
50,18272,476
51,17452,431
52,16558,484
53,15605,488
54,14756,445
55,13887,463
56,13024,470
57,12182,433
58,11275,477
59,10425,458
60,9532,487
61,8670,469
62,7637,529
63,6582,541
64,5547,515
65,4675,458
66,3746,509
67,2900,455
68,2095,431
69,1253,433
70,704,286
71,296,188
72,95,93
73,17,24
74,1,6
75,1,0
