Available,Charging
1662500,1200
1661700,400
1661500,100
1661500,0
1075000,900
1074500,300
1074100,200
1073800,100
1073800,0
1758600,1900
1757200,800
1756300,500
1755800,400
1088200,1000
1087700,300
1086900,400
6379700,40900
6301600,42000
6216500,44700
6127600,46700
6030600,49700
5943300,46500
5855300,44300
5757600,50700
5666200,49400
5570400,52200
5479500,50100
5380000,51500
5275700,53100
5199700,41600
5115800,47900
5018200,51400
4911500,55600
4809500,53800
4712600,48500
4627500,45100
4537100,48500
4444200,45700
4359600,44800
4264500,51100
4167600,50500
4083800,48500
3989500,50100
3893800,51200
3796700,51100
3713700,46400
3631000,44000
3543200,46300
3449700,49900
3361900,47600
3273900,47400
3186500,48000
3100600,45700
3011000,47600
2908500,52300
2820400,47100
2726200,49100
2631500,49400
2536200,50300
2446500,47500
2367700,44600
2279600,45600
2190300,46000
2091300,50200
1998000,48400
1913000,46300
1827200,47600
1745200,43100
1655800,48400
1560500,48800
1475600,44500
1388700,46300
1302400,47000
1218200,43300
1127500,47700
1042500,45800
953200,48700
867000,46900
763700,52900
658200,54100
554700,51500
467500,45800
374600,50900
290000,45500
209500,43100
125300,43300
70400,28600
29600,18800
9500,9300
1700,2400
